Дата	Время	Вид ДТП	Место	Улица	Дом	Дорога	Километр	Метр	Долгота	Долгота, градусы	Долгота, минуты	Долгота, секунды	Широта	Широта, градусы	Широта, минуты	Широта, секунды	Погибло	Погибло детей	Ранено	Ранено детей
01.02.2015	14:10	Опрокидывание	Республика Марий Эл, Мари-Турекский район			Мари-Турек - Мари-Билямор	9	100	49.7183	49	43	5	56.8067	56	48	24	0	0	1	0
01.02.2015	13:20	Столкновение	Республика Марий Эл, Йошкар-Ола	Красноармейская ул	66				47.8894	47	53	21	56.6431	56	38	35	0	0	0	0
01.02.2015	13:15	Наезд на стоящее ТС	Республика Марий Эл, Звениговский район, Кожласолинский, с Кожласола	Школьная ул	13				48.4869	48	29	12	56.2689	56	16	8	0	0	0	0
01.02.2015	13:00	Наезд на стоящее ТС	Республика Марий Эл, Медведевский район						48.0282	48	1	41	56.3529	56	21	10	0	0	0	0
01.02.2015	12:30	Наезд на стоящее ТС	Республика Марий Эл, Звениговский район				5	0	47.5133	47	30	47	56.2042	56	12	15	0	0	0	0
01.02.2015	12:25	Столкновение	Республика Марий Эл, Йошкар-Ола	Кырля ул	10				47.8431	47	50	35	56.6403	56	38	25	0	0	0	0
01.02.2015	11:00	Столкновение	Республика Марий Эл, Медведевский район			от Чебоксар через плотину Чебоксарской ГЭС на Йошкар-Олу, Киров до Сыктывкара	105	120	47.5633	47	33	47	56.4537	56	27	13	0	0	0	0
01.02.2015	10:30	Наезд на препятствие	Республика Марий Эл, Медведевский район						47.4958	47	29	44	56.3233	56	19	23	0	0	0	0
01.02.2015	10:25	Столкновение	Республика Марий Эл, Йошкар-Ола	Большое Чигашево ул	33				47.8925	47	53	33	56.6831	56	40	59	0	0	0	0
01.02.2015	9:50	Наезд на стоящее ТС	Республика Марий Эл, Йошкар-Ола	Петрова ул	5				47.9161	47	54	57	56.6256	56	37	32	0	0	0	0
01.02.2015	9:00	Столкновение	Республика Марий Эл, Советский район, Шуарсолинский, д Шуарсола		62				48.1947	48	11	40	56.7903	56	47	25	0	0	0	0
01.02.2015	3:00	Столкновение	Республика Марий Эл, Горномарийский район			Козьмодемьянск - Большой Сундырь	19	0	46.5522	46	33	7	56.1692	56	10	9	0	0	0	0
01.02.2015	1:00	Наезд на стоящее ТС	Республика Марий Эл, Йошкар-Ола	Баумана ул	22				47.8964	47	53	47	56.6408	56	38	26	0	0	0	0
01.02.2015	0:00	Столкновение	Республика Марий Эл, Сернурский район, Сернур	Коммунистическая ул	139				49.1431	49	8	35	56.9317	56	55	54	0	0	0	0
01.03.2015	23:40	Столкновение	Республика Марий Эл, Медведевский район, Медведево	Пушкина ул	25				47.7995	47	47	58	56.6367	56	38	12	0	0	0	0
01.03.2015	21:30	Наезд на стоящее ТС	Республика Марий Эл, Йошкар-Ола	Петрова ул	12А				47.3786	47	22	42	56.6153	56	36	55	0	0	0	0
01.03.2015	20:10	Наезд на препятствие	Республика Марий Эл, Йошкар-Ола	Либкнехта ул	73				47.8572	47	51	25	56.64	56	38	24	0	0	0	0
01.03.2015	18:45	Наезд на стоящее ТС	Республика Марий Эл, Йошкар-Ола	Дружбы ул	95				47.8589	47	51	32	56.64	56	38	24	0	0	0	0
01.03.2015	16:50	Наезд на стоящее ТС	Республика Марий Эл, Йошкар-Ола	Победы б-р	5				47.8572	47	51	25	56.64	56	38	24	0	0	0	0
01.03.2015	16:45	Наезд на стоящее ТС	Республика Марий Эл, Йошкар-Ола	Осипенко ул	60				47.8572	47	51	25	56.64	56	38	24	0	0	0	0
01.03.2015	15:30	Столкновение	Республика Марий Эл, Йошкар-Ола	Ленина пр-кт	10				47.8572	47	51	25	56.64	56	38	24	0	0	0	0
01.03.2015	15:00	Столкновение	Республика Марий Эл, Йошкар-Ола, Семеновский, с Семеновка	Гагарина ул	10				47.8564	47	51	23	56.64	56	38	24	0	0	0	0
01.03.2015	14:00	Наезд на стоящее ТС	Республика Марий Эл, Волжск	Ленина ул	58в				48.3475	48	20	51	55.8708	55	52	14	0	0	0	0
01.03.2015	13:50	Наезд на стоящее ТС	Республика Марий Эл, Советский район, Ургакшский, п Ургакш	Школьная ул	2				48.4275	48	25	39	56.7464	56	44	47	0	0	0	0
01.03.2015	13:30	Наезд на препятствие	Республика Марий Эл, Йошкар-Ола	Подольских Курсантов ул	19				47.8581	47	51	29	56.64	56	38	24	0	0	0	0
01.03.2015	13:15	Наезд на препятствие	Республика Марий Эл, Йошкар-Ола	Прохорова ул	12				47.8581	47	51	29	56.64	56	38	24	0	0	0	0
01.03.2015	13:00	Наезд на стоящее ТС	Республика Марий Эл, Йошкар-Ола	Толстого ул	1				47.8572	47	51	25	56.64	56	38	24	0	0	0	0
01.03.2015	12:00	Столкновение	Республика Марий Эл, Волжск	Щорса ул	23				48.3825	48	22	57	55.8544	55	51	15	0	0	0	0
01.03.2015	12:00	Наезд на препятствие	Республика Марий Эл, Волжск	Щербакова ул	5а				48.3356	48	20	8	55.8694	55	52	9	0	0	0	0
01.03.2015	11:50	Столкновение	Республика Марий Эл, Йошкар-Ола	Вашская ул	7				47.8572	47	51	25	56.64	56	38	24	0	0	0	0
01.03.2015	11:30	Столкновение	Республика Марий Эл, Медведевский район			Йошкар-Ола - Козьмодемьянск	5	340	47.4843	47	29	3	56.3821	56	22	55	0	0	0	0
01.03.2015	10:35	Наезд на препятствие	Республика Марий Эл, Йошкар-Ола		7				47.8572	47	51	25	56.64	56	38	24	0	0	0	0
01.03.2015	10:30	Наезд на препятствие	Республика Марий Эл, Моркинский район, Морки	Мира ул	20а				49.0244	49	1	27	56.7308	56	43	50	0	0	0	0
01.03.2015	10:20	Наезд на препятствие	Республика Марий Эл, Йошкар-Ола	Васильева ул	1				47.8572	47	51	25	56.59	56	35	24	0	0	0	0
01.03.2015	9:30	Наезд на стоящее ТС	Республика Марий Эл, Йошкар-Ола	Космодемьянской ул	132				47.8572	47	51	25	56.64	56	38	24	0	0	0	0
01.03.2015	9:20	Столкновение	Республика Марий Эл, Йошкар-Ола	Маркса ул	113				47.8581	47	51	29	56.64	56	38	24	0	0	0	0
01.03.2015	2:10	Наезд на препятствие	Республика Марий Эл, Йошкар-Ола	Строителей ул	23				47.3239	47	19	26	56.6469	56	38	48	0	0	0	0
01.04.2015	21:55	Столкновение	Республика Марий Эл, Йошкар-Ола	Крастыня ул	6в				47.8281	47	49	41	56.6319	56	37	54	0	0	0	0
01.04.2015	21:00	Отбрасывание предмета(отсоединение колеса)	Республика Марий Эл, Йошкар-Ола	Кырля ул	50				47.8567	47	51	24	56.64	56	38	24	0	0	0	0
01.04.2015	21:00	Наезд на стоящее ТС	Республика Марий Эл, Йошкар-Ола	Кирова ул	6				47.4767	47	28	36	56.4789	56	28	44	0	0	0	0
01.04.2015	20:55	Наезд на пешехода	Республика Марий Эл, Медведевский район, Медведево	Гагарина ул	2				47.7925	47	47	33	56.6386	56	38	18	0	0	1	0
01.04.2015	20:10	Наезд на стоящее ТС	Республика Марий Эл, Йошкар-Ола	Баумана ул	21				47.8578	47	51	28	56.64	56	38	24	0	0	0	0
01.04.2015	19:40	Наезд на препятствие	Республика Марий Эл, Йошкар-Ола	Строителей ул	93б				47.8528	47	51	10	56.6414	56	38	29	0	0	0	0
01.04.2015	19:10	Столкновение	Республика Марий Эл, Йошкар-Ола	Матросова ул	24				47.8472	47	50	49	56.6492	56	38	57	0	0	0	0
01.04.2015	18:50	Столкновение	Республика Марий Эл, Волжск	Ленина ул	13				48.3831	48	22	59	55.8658	55	51	56	0	0	0	0
01.04.2015	18:20	Столкновение	Республика Марий Эл, Йошкар-Ола	Строителей ул	9 А				47.8578	47	51	28	56.64	56	38	24	0	0	0	0
01.04.2015	17:50	Столкновение	Республика Марий Эл, Йошкар-Ола	Эшкинина ул	23				47.8578	47	51	28	56.64	56	38	24	0	0	0	0
01.04.2015	17:30	Столкновение	Республика Марий Эл, Волжск	Ленина ул	69				48.3356	48	20	8	55.8689	55	52	8	0	0	0	0
01.04.2015	17:15	Столкновение	Республика Марий Эл, Медведевский район			Йошкар-Ола - Зеленодольск до магистрали "Волга"	14	0	47.5854	47	35	7	56.3228	56	19	22	0	0	0	0
01.04.2015	17:10	Столкновение	Республика Марий Эл, Йошкар-Ола	Строителей ул	84				47.8581	47	51	29	56.64	56	38	24	0	0	0	0
01.04.2015	17:05	Столкновение	Республика Марий Эл, Йошкар-Ола	Дружбы ул	91				47.8717	47	52	18	56.6403	56	38	25	0	0	0	0
01.04.2015	16:30	Наезд на стоящее ТС	Республика Марий Эл, Йошкар-Ола	Победы б-р	19				47.8581	47	51	29	56.64	56	38	24	0	0	0	0
01.04.2015	15:25	Столкновение	Республика Марий Эл, Йошкар-Ола	Красноармейская ул	41				47.8567	47	51	24	56.6403	56	38	25	0	0	0	0
01.04.2015	13:15	Столкновение	Республика Марий Эл, Йошкар-Ола	Крылова ул	27				47.8561	47	51	21	56.64	56	38	24	0	0	0	0
01.04.2015	13:00	Наезд на стоящее ТС	Республика Марий Эл, Йошкар-Ола	Ленина пр-кт	24 В				47.9733	47	58	23	56.5325	56	31	57	0	0	0	0
01.04.2015	12:50	Столкновение	Республика Марий Эл, Йошкар-Ола	Пушкина ул	35				47.4967	47	29	48	56.5747	56	34	28	0	0	0	0
01.04.2015	12:40	Столкновение	Республика Марий Эл, Йошкар-Ола	Водопроводная	82				47.8889	47	53	20	56.6631	56	39	47	0	0	0	0
01.04.2015	12:00	Столкновение	Республика Марий Эл, Йошкар-Ола	Ленина пр-кт	54				47.9072	47	54	25	56.5869	56	35	12	0	0	0	0
01.04.2015	11:30	Отбрасывание предмета(отсоединение колеса)	Республика Марий Эл, Йошкар-Ола	Сернурская ул	17а				47.8783	47	52	41	56.64	56	38	24	0	0	0	0
